name,stratum,bioactivity_vocab,food_source,bioavailability,canonical_smiles,formula,mw,logp,hbd,hba,tpsa,rings,murcko_scaffold
bacoside A,South Asian,neuroprotective,Bacopa monnieri (brahmi),low,CC(C)=CCC[C@](C)(O)[C@H]1C(=O)C[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(CO)CCC(O[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,C41H68O13,769.0,1.97,8,13,215.8,6,O=C1CC2CCC3C4CCC(OC5CCC(OC6CCCCO6)CO5)CC4CCC3C2C1
gymnemic acid I,South Asian,antidiabetic,Gymnema sylvestre,low,C/C=C(\C)C(=O)O[C@H]1[C@H](O)[C@]2(COC(C)=O)[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,C43H66O14,807.0,3.03,7,13,229.7,6,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4CCCCO4)CCC3C2C1
boswellic acid,South Asian,anti-inflammatory,Boswellia serrata (frankincense),low,CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)O,C32H48O5,512.7,6.84,1,4,80.7,5,O=C1C=C2C3CCCCC3CCC2C2CCC3CCCCC3C12
guggulsterone,South Asian,metabolic-regulating,Commiphora mukul (guggul),moderate,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C21H28O2,312.5,4.64,0,2,34.1,4,C=C1C(=O)CC2C1CCC1C3CCC(=O)C=C3CCC21
forskolin,South Asian,cardiovascular,Coleus forskohlii,moderate,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,C22H34O7,410.5,1.52,3,7,113.3,3,O=C1CCOC2CCC3CCCCC3C12
thymoquinone,South Asian,antioxidant,black cumin (Nigella sativa),moderate,CC1=CC(=O)C(C(C)C)=CC1=O,C10H12O2,164.2,1.67,0,2,34.1,1,O=C1C=CC(=O)C=C1
eugenol,South Asian,other,clove,high,C=CCc1ccc(O)c(OC)c1,C10H12O2,164.2,2.13,1,2,29.5,1,c1ccccc1
mangiferin,South Asian,antioxidant,"mango, honeybush",low,O=c1c2cc(O)c(O)cc2oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,C19H18O11,422.3,-0.72,8,11,201.3,4,O=c1c2ccccc2oc2ccc(C3CCCCO3)cc12
gallocatechin,South Asian,antioxidant,"areca, tea",low,Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@@H](O)C2,C15H14O7,306.3,1.25,6,7,130.6,3,c1ccc(C2CCc3ccccc3O2)cc1
azadirachtin,South Asian,other,neem (Azadirachta indica),low,C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@H]4[C@]1(CO[C@]4(O)C(=O)OC)[C@@H]32,C35H44O16,720.7,-0.2,3,16,215.3,8,C1=CC2C(O1)OC1CC2C2OC12C1CC2OCC3CCCC4(COCC14)C32
embelin,South Asian,other,Embelia ribes (vidanga),moderate,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,C17H26O4,294.4,4.31,2,4,74.6,1,O=C1C=CC(=O)C=C1
aspalathin,African,antioxidant,rooibos (Aspalathus linearis),low,O=C(CCc1ccc(O)c(O)c1)c1c(O)cc(O)c([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1O,C21H24O11,452.4,-0.45,9,11,208.4,3,O=C(CCc1ccccc1)c1cccc(C2CCCCO2)c1
nothofagin,African,antioxidant,rooibos,low,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)c([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1O,C21H24O10,436.4,-0.16,8,10,188.1,3,O=C(CCc1ccccc1)c1cccc(C2CCCCO2)c1
kolaviron,African,hepatoprotective,bitter kola (Garcinia kola),low,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)c(O)c3)oc12,C30H20O11,556.5,4.5,7,11,198.1,6,O=C1c2ccccc2OC(c2ccccc2)C1c1cccc2c(=O)cc(-c3ccccc3)oc12
6-paradol,African,metabolic-regulating,grains of paradise (Aframomum melegueta),moderate,CCCCCCCC(=O)CCc1ccc(O)c(OC)c1,C17H26O3,278.4,4.26,1,3,46.5,1,c1ccccc1
6-shogaol,African,anti-inflammatory,"grains of paradise, ginger",moderate,CCCCC/C=C/C(=O)CCc1ccc(O)c(OC)c1,C17H24O3,276.4,4.04,1,3,46.5,1,c1ccccc1
mesembrine,African,neuroprotective,kanna (Sceletium tortuosum),moderate,COc1ccc([C@@]23CCC(=O)C[C@@H]2N(C)CC3)cc1OC,C17H23NO3,289.4,2.4,0,4,38.8,3,O=C1CCC2(c3ccccc3)CCNC2C1
catechin,African,antioxidant,"kola nut, marula, cocoa",low,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,C15H14O6,290.3,1.55,5,6,110.4,3,c1ccc(C2CCc3ccccc3O2)cc1
hydroxycitric acid,African,metabolic-regulating,Garcinia (bitter kola relatives),moderate,O=C(O)CC(O)(C(=O)O)C(O)C(=O)O,C6H8O8,208.1,-2.28,5,5,152.4,0,
epicatechin,African,cardiovascular,"cocoa, kola nut",moderate,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,C15H14O6,290.3,1.55,5,6,110.4,3,c1ccc(C2CCc3ccccc3O2)cc1
caffeine,African,stimulant,"kola nut, coffee",high,Cn1c(=O)c2c(ncn2C)n(C)c1=O,C8H10N4O2,194.2,-1.03,0,3,61.8,2,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
gnetin C,African,antioxidant,Gnetum (African/Asian),low,Oc1ccc(/C=C/c2cc(O)c3c(c2)O[C@H](c2ccc(O)cc2)[C@H]3c2cc(O)cc(O)c2)cc1,C28H22O6,454.5,5.65,5,6,110.4,5,C(=Cc1ccc2c(c1)OC(c1ccccc1)C2c1ccccc1)c1ccccc1
mangiferin (honeybush),African,antioxidant,honeybush (Cyclopia),low,O=c1c2cc(O)c(O)cc2oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,C19H18O11,422.3,-0.72,8,11,201.3,4,O=c1c2ccccc2oc2ccc(C3CCCCO3)cc12
iso-orientin,African,antioxidant,hibiscus/roselle (Hibiscus sabdariffa),low,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,C21H20O11,448.4,-0.2,8,11,201.3,4,O=c1cc(-c2ccccc2)oc2ccc(C3CCCCO3)cc12
delphinidin 3-sambubioside,African,antioxidant,"roselle (hibiscus, zobo/bissap)",low,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,C26H29O16+,597.5,-1.45,11,15,270.7,5,c1ccc(-c2[o+]c3ccccc3cc2OC2OCCCC2OC2CCCCO2)cc1
cyanidin 3-sambubioside,African,antioxidant,roselle (hibiscus),low,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O.[Cl-],C26H29ClO15,617.0,-4.15,10,14,250.5,5,c1ccc(-c2[o+]c3ccccc3cc2OC2OCCCC2OC2CCCCO2)cc1
xanthohumol,African,anticancer,hops relatives / marula,low,COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1,C21H22O5,354.4,4.22,3,5,87.0,2,O=C(C=Cc1ccccc1)c1ccccc1
kaurenoic acid,African,antimicrobial,Xylopia aethiopica (grains of Selim),moderate,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3,C20H30O2,302.5,5.04,1,1,37.3,4,C=C1CC23CCC4CCCCC4C2CCC1C3
rosmarinic acid,Western,anti-inflammatory,"rosemary, sage, mint",moderate,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,C18H16O8,360.32,1.76,5,7,144.52,2,O=C(C=Cc1ccccc1)OCCc1ccccc1
carnosic acid,Western,antioxidant,"rosemary, sage",low,CC(C)c1cc2c(c(O)c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2,C20H28O4,332.44,4.32,3,3,77.76,3,c1ccc2c(c1)CCC1CCCCC21
lycopene,Western,antioxidant,"tomato, watermelon",low,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C,C40H56,536.89,12.94,0,0,0.0,0,
silibinin,Western,hepatoprotective,milk thistle seed,low,COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O,C25H22O10,482.44,2.36,5,10,155.14,5,O=C1CC(c2ccc3c(c2)OC(c2ccccc2)CO3)Oc2ccccc21
fisetin,Western,neuroprotective,"strawberry, apple",low,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,C15H10O6,286.24,2.28,4,6,111.13,3,O=c1cc(-c2ccccc2)oc2ccccc12
pinoresinol,Western,antioxidant,"olive oil, sesame",moderate,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,C20H22O6,358.39,3.19,2,6,77.38,4,c1ccc(C2OCC3C(c4ccccc4)OCC23)cc1
oleocanthal,Western,anti-inflammatory,extra-virgin olive oil,moderate,C/C=C(/C=O)[C@@H](CC=O)CC(=O)OCCc1ccc(O)cc1,C17H20O5,304.34,2.22,1,5,80.67,1,c1ccccc1
baicalein,East Asian,anti-inflammatory,Scutellaria baicalensis (TCM),low,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,C15H10O5,270.24,2.58,3,5,90.9,3,O=c1cc(-c2ccccc2)oc2ccccc12
wogonin,East Asian,anticancer,Scutellaria baicalensis (TCM),low,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,C16H12O5,284.27,2.88,2,5,79.9,3,O=c1cc(-c2ccccc2)oc2ccccc12
astragaloside IV,East Asian,adaptogenic/tonic,Astragalus membranaceus (TCM),low,CC(C)(O)[C@@H]1CC[C@](C)([C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]5C(C)(C)[C@@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)O1,C41H68O14,784.98,0.72,9,14,228.22,8,C1CCC(OC2CCC34CC35CCC3C(C6CCCO6)CCC3C5CC(OC3CCCCO3)C4C2)OC1
ginsenoside Rg3,East Asian,anticancer,ginseng (red),low,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,C42H72O13,785.03,2.15,9,13,218.99,6,C1CCC(OC2CCCOC2OC2CCC3C(CCC4C5CCCC5CCC34)C2)OC1
ginkgolide B,East Asian,neuroprotective,Ginkgo biloba,moderate,C[C@@H]1C(=O)O[C@H]2[C@@H](O)[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@]36[C@@H](OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@@]12O,C20H24O10,424.4,-1.37,3,10,148.82,6,O=C1CC2C(CC34C5CCC36CC(=O)OC6OC24C(=O)O5)O1
epicatechin gallate,East Asian,antioxidant,green tea,low,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,C22H18O10,442.38,2.53,7,10,177.14,4,O=C(OC1Cc2ccccc2OC1c1ccccc1)c1ccccc1
diallyl disulfide,East Asian,anticancer,garlic,moderate,C=CCSSCC=C,C6H10S2,146.28,2.74,0,2,0.0,0,
salvianolic acid B,East Asian,cardiovascular,Salvia miltiorrhiza (Danshen),low,O=C(/C=C/c1ccc(O)c2c1[C@H](C(=O)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O)[C@@H](c1ccc(O)c(O)c1)O2)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,C36H30O16,718.62,3.33,9,14,278.04,5,O=C(C=Cc1cccc2c1C(C(=O)OCCc1ccccc1)C(c1ccccc1)O2)OCCc1ccccc1
ar-turmerone,South Asian,neuroprotective,turmeric,low,CC(C)=CC(=O)C[C@H](C)c1ccc(C)cc1,C15H20O,216.32,4.02,0,1,17.07,1,c1ccccc1
withanolide A,South Asian,neuroprotective,ashwagandha (Withania),low,CC1=C(C)C(=O)O[C@@H]([C@](C)(O)[C@H]2CC[C@H]3[C@@H]4[C@@H]5O[C@@H]5[C@@]5(O)CC=CC(=O)[C@]5(C)[C@H]4CC[C@]23C)C1,C28H38O6,470.61,3.5,2,6,96.36,6,O=C1C=CCC(CC2CCC3C2CCC2C4C(=O)C=CCC4C4OC4C32)O1
asiatic acid,South Asian,neuroprotective,Centella asiatica (gotu kola),low,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@H]12,C30H48O5,488.71,5.03,4,4,97.99,5,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1
asiaticoside,South Asian,anti-inflammatory,Centella asiatica (gotu kola),low,C[C@H]1[C@H](C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@H]12,C48H78O19,959.13,-1.03,12,19,315.21,8,O=C(OC1CCCC(COC2CCC(OC3CCCCO3)CO2)O1)C12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2
sesamin,South Asian,cardiovascular,sesame seed/oil,moderate,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,C20H18O6,354.36,3.22,0,6,55.38,6,c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2
ursolic acid,South Asian,metabolic-regulating,"holy basil (tulsi), apple peel",low,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,C30H48O3,456.71,7.09,2,2,57.53,5,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1
carvacrol,South Asian,antimicrobial,"ajwain (carom), oregano",moderate,Cc1ccc(C(C)C)cc1O,C10H14O,150.22,2.82,1,1,20.23,1,c1ccccc1
